felling_period;felling_toponymy_source;felling_toponymy_MTN25;latitude;longitude;province;municipality;landownership;landowner_name;tree_species;tree_quantity
1749-1750;La Nobenera;La Novenera;37.1855722082;-5.735740569;Sevilla;Utrera;private;Alonso Segura;pine;1.0
1749-1750;La Nobenera;La Novenera;37.1855722082;-5.735740569;Sevilla;Utrera;private;Cristóbal Franco;pine;1.0
1749-1750;La Thenienta;La Tenienta;37.1937535456;-5.718035553;Sevilla;Utrera;private;Juan de Almoriña;pine;1.0
1749-1750;Posteruelos;Posteruelos;37.2215482048;-5.725813959;Sevilla;Utrera;private;Pedro Román and other unidentified individual;pine;2.0
1749-1750;Recuero;El Recuero;37.2168769569;-5.755221698;Sevilla;Utrera;private;Maiorazgo de Recuero;pine;1.0
1749-1750;Recuero;El Recuero;37.2168769569;-5.755221698;Sevilla;Utrera;private;undefined;pine;1.0
1749-1750;San Gines;San Ginés;37.2023769541;-5.815408538;Sevilla;Utrera;private, ecclesiastic;Juan Gallardo, Julio Cavaleri, Convento de Santa Clara;pine;6.0
1749-1750;La Zierba;Hacienda de la Cierva;37.40907027;-5.758677855;Sevilla;Carmona;private;Filipe de Acosta, Maria Monsaibe, Pedro Briones;pine;5.0
1749-1750;Pantorilla;Pantorilla;;;Sevilla;Carmona;ecclesiastic;Cura de Santiago de Carmona;pine;4.0
1749-1750;Monte de los Peregrinos;undefined;;;Sevilla;Carmona;noble estate;Marqués de Saltillo;pine;78.0
1749-1750;Salvador Díaz;Salvador Díaz;37.2121213191;-5.721562284;Sevilla;Alcalá de Guadaíra;private;Canon Lazaro;pine;2.0
1749-1750;Chaparral;El Chaparral;37.51905466;-6.235115898;Sevilla;Aznalcóllar;comunal;Aznalcóllar;holm oak;204.0
1749-1750;Dehesa de Castillo de las Guardas;Dehesa del Castillo;37.72321973;-6.310845672;Sevilla;El Castillo de las Guardas;comunal;El Castillo de las Guardas;holm oak;1165.0
1749-1750;Dehesa de Algarrobo;undefined;;;Sevilla;El Garrobo;comunal;El Garrobo;holm oak;40.0
1749-1750;Almonte;Almonte;;;Huelva;Almonte;private;Francisco Rodríguez;pine;3.0
1749-1750;Dehesa de Torre de Palencia;undefined;;;Huelva;Huelva;undefined;undefined;holm oak;41.0
1749-1750;Barranco;Barranco;;;Sevilla;El Castillo de las Guardas;ecclesiastic;Vigário de Castilo de las Guardas;holm oak;16.0
1749-1750;La Suerte del Valle;La Suerte;37.72025389;-6.329358355;Sevilla;El Castillo de las Guardas;ecclesiastic;Vigário de Castilo de las Guardas;holm oak;17.0
1749-1750;Los Cercados;Los Cercados;37.73347515;-6.297914018;Sevilla;El Castillo de las Guardas;ecclesiastic;Vigário de Castilo de las Guardas;holm oak;16.0
1749-1750;San Julian;Valdejulian;37.70275388;-6.471869164;Sevilla;El Castillo de las Guardas;ecclesiastic;Vigário de Castilo de las Guardas;holm oak;17.0
1749-1750;Balcargado;Valquemado ;37.74985902;-6.282946011;Sevilla;El Castillo de las Guardas;ecclesiastic;Vigário de Castilo de las Guardas;holm oak;17.0
1749-1751;Moguer;Moguer;;;Huelva;Moguer;private;Manuel Gil;pine;36.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;ecclesiastic;José Azevedo, peresbítero;pine;7.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Vicente García;pine;6.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Rafaela Millán;pine;6.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;José Domínguez;pine;30.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Jose Naranjo;pine;6.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Isabel Suárez;pine;3.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Francisco de Vega;pine;2.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Francisco Beltrán;pine;3.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Diego Bermúdez;pine;39.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Blas Fernández;pine;51.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Alonso Acevedo;pine;70.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Pedro Ponce;pine;12.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Pedro Ponce;pine;14.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Nuño Carlos de Villacicencio;pine;40.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Miguel Roldán;pine;10.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Manuel Acevedo;pine;17.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;José Tello de Eslava;pine;80.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Isabel Tello de Eslava;pine;7.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;ecclesiastic;Fabrica de Ia Iglesia de Almonte;pine;14.0
1749-1751;Almonte;Almonte;;;Huelva;Almonte;private;Antonio Ojedo;pine;11.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Gaspar de Castro;pine;209.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Juan de Vayas y Mota;pine;37.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Simón Naranjo;pine;25.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Andrés Bueno;pine;27.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;ecclesiastic;Hermandad de la Santíssima Trinidad;pine;12.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Tereza de Campomanes;pine;28.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Miguel de Bustillo;pine;20.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;José Delgado;pine;20.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;ecclesiastic;Convento de San Agustín de Sevilla;pine;40.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;María de Mendonza, Francisco Samariego;pine;15.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Josefa María Venegas;pine;2.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;José de Vayas;pine;14.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;ecclesiastic;Hermandad del Santíssimo Sacramento;pine;22.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;ecclesiastic;Hermandad de Benditas Anias de Hinojos;pine;12.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Diego Martínez de la Paba;pine;9.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;Antonio de Flores;pine;12.0
1749-1751;Hinojos;Hinojos;;;Huelva;Hinojos;private;José Martinez Carmona;pine;6.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;private;Diego Martínez de la Paba;pine;9.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;private;Antonio de Flores;pine;11.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;comunal;Villa de Aznalcázar;pine;204.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;private;Juana de Sarria;pine;208.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;private;Felix Cataño;pine;11.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;ecclesiastic;Monasterio de la Cartuja de Jerez;pine;88.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;ecclesiastic;Fabrica de la Iglesia Parroquial de San Pablo de Aznalcázar;pine;34.0
1749-1751;Aznalcázar;Aznalcázar;;;Huelva;Aznalcázar;private;José Martinez Carmona;pine;5.0
1749-1751;Dehesa de Venaxiar;Benajiar ;37.27200002;-6.191586913;Huelva;Bollullos de la Mitación;noble estate;Conde de Benajiar;pine;237.0
1749-1751;Torrequemada;Torrequemada ;37.33831616;-6.1114740609;Huelva;Gelves;assistance institution;Hospicio de San Ignacio de Sevilla;pine;23.0
1749-1751;Umbrete;Umbrete;;;Sevilla;Umbrete;noble estate;Duquesa de Alba;pine;219.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Bartolomé de Albarán;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Rodrigo Patronato;pine;319.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Pedro Mendez;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Pedro Alarán;pine;12.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Pedro Alarán;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Patronato de Salas;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Patronato de Pelaez;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Justo de Cerna;pine;6.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Juan Faustino Moreno y Figueroa;pine;12.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Juan Almoruña;pine;7.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Gerónimo Ramos;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Francisco Morález;pine;20.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Francisco Meléndez;pine;11.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Francisco Calero;pine;3.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;ecclesiastic;Fabrica de la Iglesia de Santa Maria de Utrera;pine;13.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Diego Ramos;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Diego de Soto;pine;12.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Cristóbal Bermúdez;pine;24.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;ecclesiastic;Clerigos Cereros;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Antonio Montedoca;pine;9.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Antonio Márquez;pine;7.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Alonso Martín;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;José Alaraz;pine;10.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Pedro Diego Esteban;pine;8.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;José de Castillo, Juan de Almoriña;pine;6.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Bartolomé de Palma;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Bartolomé de Palma;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Ana Franco;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Ana Franco;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Sebastián Montilla;pine;5.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Roque de Arena;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Pedro Ordiales;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Mateo del Castillo;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Manuel Fernández;pine;14.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Manuel de Saavedra;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Manuel Caton;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Juan Ruiz;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Juan de Asa;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;José Vaquero;pine;6.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;José Valdivieso;pine;3.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Gerónimo Florencio;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Francisco Parea;pine;4.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Francisco Jiménez;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Francisco Almoriña;pine;5.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Diego de Alcalá;pine;1.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;noble estate;Condesa de Arenales;pine;8.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;noble estate;Conde de Torrubia;pine;47.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;noble estate;Conde de Mejorada;pine;2.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;noble estate;Conde de Gerena;pine;34.0
1749-1751;Utrera;Utrera;;;Sevilla;Utrera;private;Luis Antonio Cabrera;pine;1.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;noble estate;Duque de Arcos;pine;6.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;private;Bartolomé Romero;pine;2.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;private;Diego Urbaneja;pine;2.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;private;José Vargas;pine;2.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;private;Luis Hermoso;pine;2.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;private;Juan Carmona;pine;2.0
1749-1751;Marchena;Marchena;;;Sevilla;Marchena;private;Juan José Clarebot;pine;2.0
1749-1751;Paradas;Paradas;;;Sevilla;Paradas;private;Bartolomé Romero;pine;2.0
1749-1751;Paradas;Paradas;;;Sevilla;Paradas;private;Diego Urbaneja;pine;2.0
1749-1751;Paradas;Paradas;;;Sevilla;Paradas;private;José Vargas;pine;3.0
1749-1751;Paradas;Paradas;;;Sevilla;Paradas;private;Luis Hermoso;pine;2.0
1749-1751;Paradas;Paradas;;;Sevilla;Paradas;private;Juan Carmona;pine;2.0
1749-1751;Paradas;Paradas;;;Sevilla;Paradas;private;Juan José Clarebot;pine;2.0
1749-1751;Arahal;Arahal;;;Sevilla;Arahal;private;Francisco de Torres;pine;1.0
1749-1751;Dos Hermanas;Dos Hermanas;;;Sevilla;Dos Hermanas;private;Alonso Gregório Domingues de Rivas;pine;294.0
1749-1751;Dos Hermanas;Dos Hermanas;;;Sevilla;Dos Hermanas;private;Laura María de Quirós;pine;14.0
1749-1751;Dos Hermanas;Dos Hermanas;;;Sevilla;Dos Hermanas;noble estate;Marqués de Dos Hermanas;pine;4.0
1749-1751;Dos Hermanas;Dos Hermanas;;;Sevilla;Dos Hermanas;private;Felipe Cordón;pine;1.0
1749-1751;Sevilla;Sevilla;;;Sevilla;Sevilla;private;Juan Antonio Maestre;pine;11.0
1749-1751;Sevilla;Sevilla;;;Sevilla;Sevilla;private;Francisco Antonio Maestre;pine;1.0
1749-1751;Sevilla;Sevilla;;;Sevilla;Sevilla;assistance institution;Casa de la Misericordia de Sevilla;pine;332.0
1749-1751;Sevilla;Sevilla;;;Sevilla;Sevilla;ecclesiastic;Abadia del Monasterio de San Benito de Sevilla;pine;82.0
1749-1751;Sevilla;Sevilla;;;Sevilla;Sevilla;noble estate;Marqués de la Florida;holm oak;99.0
1749-1751;Sevilla;Sevilla;;;Sevilla;Sevilla;ecclesiastic;Iglesia Patriarcal de Sevilla;holm oak;668.0
1749-1751;Tocina;Tocina;;;Sevilla;Tocina;ecclesiastic;Orden de Malta;pine;8.0
1749-1751;Tocina;Tocina;;;Sevilla;Tocina;ecclesiastic;Orden de Malta;holm oak;55.0
1750;Dehesa de la Parrilla;Cortijo de la Parrilla ;37.94319167;-6.260628257;Sevilla;Cala;comunal;Cala;holm oak;100.0
1750-1751;Almonte;Almonte;;;Huelva;Almonte;private;Francisco Rodríguez;pine;103.0
1750-1751;Utrera;Utrera;;;Sevilla;Utrera;comunal;Utrera;pine;1.0
1750-1751;Dehesa de San Bartolomé;Dehesa Boyal;37.42990547;-7.10969907;Huelva;San Bartolomé de la Torre;comunal;San Bartolomé de la Torre;holm oak;204.0
1751;Dehesa de Alosno;Dehesa Boyal;37.55584677;-7.174164717;Huelva;Alosno;comunal;Alosno;holm oak;74.0
1751;La Dehesa;La Dehesa;37.94324354;-6.151435889;Sevilla;El Real de la Jara;comunal;El Real de la Jara;holm oak;605.0
1751;Dehesa de Remuñana;Dehesa de Romuñana;37.29350437;-6.545288959;Huelva;Bollullos Par del Condado;noble estate;Duque de Medina Sidonia;holm oak;53.0
1751;Dehesa de Montanina;La Montañina;37.34899709;-6.570694843;Huelva;Bollullos Par del Condado;noble estate;Duque de Medina Sidonia;holm oak;71.0
1751;Dehesa de Paternina;Dehesa de Paternina;37.3331629207;-6.424401461;Huelva;Chucena;noble estate;Duque de Medinacelli;holm oak;44.0
1751;Dehesa de Garruchena;Dehesa de Garruchena;37.34288999;-6.467856282;Huelva;Hinojos;noble estate;Marquesa de Astorga;holm oak;63.0
1751;Dehesa de Torre de Quadros;Dehesa de Torrecuadros;37.31127133;-6.364159217;Huelva;Hinojos;noble estate, ecclesiastic;Marquesa de La Motilla, Convento de San Pablo de Sevilla;holm oak;56.0
1751;Cala;Cala;;;Huelva;Cala;private;José Sánchez;holm oak;83.0
1751;Cala;Cala;;;Huelva;Cala;ecclesiastic;Fabrica de la Iglesia de Cala;holm oak;1.0
1751;Cala;Cala;;;Huelva;Cala;comunal;cabildo de la villa de Cala;holm oak;494.0
1751;Cala;Cala;;;Huelva;Cala;private;Antonio Perez, María Domínguez;holm oak;21.0
1751;Santa Olalla del Cala;Santa Olalla del Cala;;;Huelva;Santa Olalla del Cala;comunal;Santa Olalla del Cala;holm oak;851.0
1751;Cañada;Cañada de los Charcos;37.93528427;-6.231529161;Huelva;Santa Olalla del Cala;private;undefined;holm oak;25.0
1751;Lanchas; Las Lanchas ;37.94440482;-6.233912445;Huelva;Santa Olalla del Cala;private;undefined;holm oak;25.0
1751;Zerro del Almendro;Cerro del Almendro;37.95291601;-6.220694519;Huelva;Santa Olalla del Cala;private;Juan de Aguilar;holm oak;40.0
1751;Espossas;Dehesa de las Esposas;37.78402303;-6.472098452;Huelva;Zufre;comunal;Zufre;holm oak;100.0
1751;Jarama;Dehesa del Jarama;37.74931145;-6.437916381;Huelva;Zufre;private;Pedro Parreño;holm oak;120.0
1751;Dehesa de Aljobar;Casa de Aljóbar;37.26813159;-6.234787288;Sevilla;Aznalcázar;noble estate;Conde-Duque de Olivares;holm oak;47.0
1751;Los Molinos;Cortijo de los Molinos;37.23657211;-6.254580439;Sevilla;Aznalcázar;noble estate;Marqués de Villa Franca;holm oak;19.0
1751;Torres;Hacienda de Torres;37.28892244;-6.247687098;Sevilla;Aznalcázar;assistance institution;Misericordia;holm oak;22.0
1751;Dehesa de Venacazon;La Dehesilla;37.35186627;-6.213768561;Sevilla;Benacazón;comunal;Benacazón;holm oak;10.0
1751;Gelo;Dehesa de Gelo;37.32097273;-6.207600172;Sevilla;Benacazón;noble estate;Marqués de Gelo;holm oak;54.0
1751;Rebujena la Alta;Rebujena Alta;37.3283165;-6.168877188;Sevilla;Bollullos de la Mitación;noble estate;Marqués de Sauzo, Marquesa de Villa Nueva del Prado;holm oak;21.0
1751;Dehesa de Collera;Collera;37.34105568;-6.308886794;Sevilla;Huévar;private;Ignacio de Castañeda;holm oak;7.0
1751;Dehesa de Lerena;Dehesa de Lerena;37.34130743;-6.341364825;Sevilla;Huévar;noble estate;Marqués de la Fuente;holm oak;30.0
1751;Puñana;Dehesa de Puyana;37.30087703;-6.127715643;Sevilla;La Puebla del Río;private;Ignacio de Castañeda;holm oak;39.0
1751;Dehesa de Robaina;Cerro de Robaina;37.33060686;-6.287491349;Sevilla;Pilas;ecclesiastic;Orden de Malta;holm oak;55.0
1751;Dehesa de Santillan;Santillán;37.31953845;-6.33393354;Sevilla;Pilas;noble estate;Marqués de Dos Hermanas;holm oak;14.0
1751;Lopas;Dehesa de Lopaz;37.28457871;-6.19580745;Sevilla;Umbrete;ecclesiastic;Cardenal Infante Luis Antonio Jaime de Borbón y Farnesio;holm oak;28.0
1751;Dehesa de Chillas;Cortijo de Chilla;37.26177391;-6.279890135;Sevilla;Villamanrique de la Condesa;noble estate;Marquesa de Astorga;holm oak;17.0
1751;Dehesa de Gato;El Gato;37.24566317;-6.343690193;Sevilla;Villamanrique de la Condesa;noble estate;Marquesa de Astorga;holm oak;8.0
1751;Casa de Sierra;Casa Sierra;37.67020864;-6.215808466;Sevilla;El Castillo de las Guardas;comunal;El Castillo de las Guardas;holm oak;96.0
1751;Valdíos;El Badío;37.6781994;-6.288760439;Sevilla;El Castillo de las Guardas;fallow land;El Castillo de las Guardas;holm oak;12.0
1751;Cañuelo;El Cañuelo;37.67119374;-6.227674558;Sevilla;El Castillo de las Guardas;comunal;El Castillo de las Guardas;holm oak;26.0
1751;La Suerte;La Suerte;37.72025389;-6.329358355;Sevilla;El Castillo de las Guardas;private;Bartolomé Rodríguez, Joaquín de Tróia, José Mabaes Ayala, Úrsula Morgas;holm oak;48.0
1751;Patronato;Patronato;;;Sevilla;El Castillo de las Guardas;ecclesiastic;Vigario de El Castillo de las Guardas;holm oak;109.0
1751;Baldios;undefined;;;Sevilla;El Garrobo;comunal;El Garrobo;holm oak;59.0
