felling_period;felling_toponymy_source;felling_toponymy_MTN25;latitude;longitude;province;municipality;landownership;landowner_name;tree_species;tree_quantity
1748-1749;Dehesa Vollar;Dehesa Boyal;37.31139073;-6.420850387;Huelva;Hinojos;comunal;Bollullos del Condado;holm oak;80.0
1748-1749;Dehesa de Garruchena;Dehesa de Garruchena;37.34288999;-6.467856282;Huelva;Hinojos;noble estate;Marqués de Astorga;holm oak;36.0
1748-1749;Dehesa de Torre de Quadros;Dehesa de Torrecuadros;37.31127133;-6.364159217;Huelva;Hinojos;noble estate;Marqués de la Villa;holm oak;200.0
1748-1749;Dehesa de Boyar de  Rusiana;Las Vaquerizas;37.2609626924;-6.634794511;Huelva;Rociana del Condado;comunal;Rociana del Condado;holm oak;40.0
1748-1749;Dehesa de Purchena;Dehesa de Purchena;37.35584015;-6.438208807;Huelva;Villalba del Alcor;noble estate;Marqués de Priego;holm oak;170.0
1748-1749;Quema;Cortijo de Quema;37.25192428;-6.256546246;Sevilla;Aznalcázar;private;Francisco Esquível;holm oak;360.0
1748-1749;Dehesa de Charena;Charenas;37.25996497;-6.230187029;Sevilla;Aznalcázar;comunal;Aznalcázar;holm oak;18.0
1748-1749;Dehesa de Venacazon / Boyal de Venacazon;La Dehesilla;37.35186627;-6.213768561;Sevilla;Benacazón;noble estate;Conde de Torrejón;holm oak;123.0
1748-1749;Dehesa de Venaxiar;Benajiar;37.27200002;-6.191586913;Sevilla;Bollullos de la Mitación;noble estate;Conde de Torrejón;holm oak;40.0
1748-1749;Dehesa de Molino de los Zéspedes;undefined;;;Sevilla;Carrión de los Céspedes;noble estate;Marqués de Villa Franca;holm oak;60.0
1748-1749;Dehesa de Collera;Collera;37.34105568;-6.308886794;Sevilla;Huévar;private;Ignacio de Castañeda;holm oak;250.0
1748-1749;Dehesa de Espechilla;Dehesa de Espechilla;37.32809507;-6.333664706;Sevilla;Huévar;ecclesiastic;Catedral de Sevilla;holm oak;400.0
1748-1749;Dehesa de Lerena;Dehesa de Lerena;37.34130743;-6.341364825;Sevilla;Huévar;noble estate;Marqués de La Fuente;holm oak;231.0
1748-1749;Dehesa de Robaina;Cerro de Robaina;37.33060686;-6.287491349;Sevilla;Pilas;ecclesiastic;Orden de Malta;holm oak;73.0
1748-1749;Dehesa de Pilas;Dehesa de Pilas;37.27918534;-6.317927291;Sevilla;Pilas;comunal;Pilas;holm oak;170.0
1748-1749;Dehesa de Santillan;Santillán;37.31953845;-6.33393354;Sevilla;Pilas;noble estate;Marqués de Dos Hermanas;holm oak;160.0
1748-1749;Crespín;Crispín;37.48862159;-6.2129359643;Sevilla;Sanlúcar la Mayor;noble estate;Duque de Alba;holm oak;210.0
1748-1749;Lopas;Dehesa de Lopaz;37.28457871;-6.19580745;Sevilla;Umbrete;ecclesiastic;Cardenal Infante Luis Antonio Jaime de Borbón y Farnesio;holm oak;50.0
1748-1749;Dehesa de Chillas;Cortijo de Chilla;37.26177391;-6.279890135;Sevilla;Villamanrique de la Condesa;noble estate;Marqués de Astorga;holm oak;74.0
1748-1749;Dehesa de Gato;El Gato;37.24566317;-6.343690193;Sevilla;Villamanrique de la Condesa;noble estate;Marqués de Astorga;holm oak;150.0
1748-1749;Chucena;Chucena;;;Sevilla;Chucena;noble estate;Marqués de Torres;holm oak;12.0
1748-1750;Chucena;Chucena;;;Sevilla;Chucena;noble estate;Marqués de Torres;pine;7.0
1748-1749;Almonte;Almonte;;;Huelva;Almonte;private;José Carlos Tello;pine;5.0
1748-1749;Almonte;Almonte;;;Huelva;Almonte;ecclesiastic;Hermita de Nuestra Señora del Rocío;pine;2.0
1748-1749;Almonte;Almonte;;;Huelva;Almonte;private;Miguel de Ribas;pine;3.0
1748-1749;Almonte;Almonte;;;Huelva;Almonte;private;Francisco Rodríguez;pine;1.0
1748-1749;Almonte;Almonte;;;Huelva;Almonte;private, ecclesiastic;José Domínguez, Hermandad de Nuestra Señora del Rosario, Convento de Nuestra Señora del Pópulo;pine;74.0
1748-1749;Hinojos;Hinojos;;;Huelva;Hinojos;private;Francisco Osorno;pine;9.0
1748-1749;Hinojos;Hinojos;;;Huelva;Hinojos;private;José Campo, Pedro de los Reyes;pine;30.0
1748-1749;Hinojos;Hinojos;;;Huelva;Hinojos;private, ecclesiastic;José Domínguez, Hermandad de Nuestra Señora del Rosario, Convento de Nuestra Señora del Pópulo;pine;74.0
1748-1749;Dehesa de Torre de Palencia;undefined;;;Huelva;Huelva;private;Diego de Guzmán;holm oak;0.0
1748-1749;Benacazón;Benacazón;;;Sevilla;Benacazón;noble estate;Conde de Torrejón;holm oak;137.0
1748-1749;Gelo;Dehesa de Gelo;37.32097273;-6.207600172;Sevilla;Benacazón;noble estate;Marqués de Gelo;holm oak;298.0
1748-1749;Dehesa de Torres;Las Torres ;37.35224153;-6.239882548;Sevilla;Benacazón;assistance institution;Misericordia de Sevilla;pine;4.0
1748-1749;Dehesa de Torres;Las Torres ;37.35224153;-6.239882548;Sevilla;Benacazón;assistance institution;Misericordia de Sevilla;holm oak;559.0
1748-1749;Torre de las Arcas;Torre de las Arcas;37.35790822;-6.1370962725;Sevilla;Bollullos de la Mitación;ecclesiastic;Catedral de Sevilla;pine;1.0
1748-1749;Espartinas;Espartinas;;;Sevilla;Espartinas;noble estate;Marqués de Tablantes;pine;1.0
1748-1749;Huevar;Huevar;;;Sevilla;Huévar;private;Ignacio de Castañeda;holm oak;372.0
1748-1749;Pilas;Pilas;;;Sevilla;Pilas;noble estate;Marqués de Dos Hermanas;pine;1.0
1748-1749;Pilas;Pilas;;;Sevilla;Pilas;private;Juan de Sevilla;pine;1.0
1748-1749;Pilas;Pilas;;;Sevilla;Pilas;private;Manuel de Medina;pine;1.0
1748-1749;Umbrete;Umbrete;;;Sevilla;Umbrete;private;Andrés Sánchez;pine;1.0
1748-1749;Umbrete;Umbrete;;;Sevilla;Umbrete;private;Bartolomé Delgado;pine;3.0
1748-1749;Umbrete;Umbrete;;;Sevilla;Umbrete;private;Manuel de los Reyes;pine;1.0
1748-1749;Villa Nueva del Ariscal;Villa Nueva del Ariscal;;;Sevilla;Villanueva del Ariscal;private;María Beltrán;pine;1.0
1748-1749;Utrera;Utrera;;;Sevilla;Utrera;private;José Florencio;pine;2.0
1748-1749;Utrera;Utrera;;;Sevilla;Utrera;private;Manuel Eusebio Varela;pine;1.0
